Name;Year;Country;Category;Gender;Details
14th Dalai Lama;1989;Tibet;Peace;Man; born in Tibet
A. Michael Spence;2001;United States;Economics;Man;
Aage Bohr;1975;Denmark;Physics;Man;
Aaron Ciechanover;2004;Israel;Chemistry;Man;
Aaron Klug;1982;Lithuania;Chemistry;Man;
Aaron Klug;1982;South Africa;Chemistry;Man;
Aaron Klug;1982;United Kingdom;Chemistry;Man; born in Lithuania
Abdus Salam;1979;Pakistan;Physics;Man; As Pakistani citizen born in then British India,  now Pakistan
Abhijit Banerjee;2019;India;Economics;Man;
Abhijit Banerjee;2019;United States;Economics;Man; born in India
Abiy Ahmed Ali;2019;Ethiopia;Peace;Man;
Ada Yonath;2009;Israel;Chemistry;Woman;
Adam G. Riess;2011;United States;Physics;Man;
Adolf Butenandt;1939;Germany;Chemistry;Man;
Adolf Otto Reinhold Windaus;1928;Germany;Chemistry;Man;
Adolf von Baeyer;1905;Germany;Chemistry;Man;
Adolfo Pérez Esquivel;1980;Argentina;Peace;Man;
Ahmed H. Zewail;1999;United States;Chemistry;Man; born in Egypt
Ahmed Zewail;1999;Egypt;Chemistry;Man;
Akira Suzuki;2010;Japan;Chemistry;Man;
Akira Yoshino;2019;Japan;Chemistry;Man;
Al Gore;2007;United States;Peace;Man;
Alan Heeger;2000;United States;Chemistry;Man;
Alan Lloyd Hodgkin;1963;United Kingdom;Physiology or Medicine;Man;
Alan MacDiarmid;2000;New Zealand;Chemistry;Man;
Alan MacDiarmid;2000;United States;Chemistry;Man; born in New Zealand
Albert A. Michelson;1907;Poland;Physics;Man; born in Strelno,  North German Confederation (now in Poland)
Albert A. Michelson;1907;United States;Physics;Man; born in then Germany,  now Poland
Albert Camus;1957;France;Literature;Man; born in French Algeria
Albert Claude;1974;Belgium;Physiology or Medicine;Man;
Albert Einstein;1921;Germany;Physics;Man;
Albert Einstein;1921;Switzerland;Physics;Man; born in Germany
Albert Fert;2007;France;Physics;Man;
Albert Lutuli;1960;South Africa;Peace;Man; born in then Rhodesia,  now Zimbabwe
